INCOME72,year,id,wrkstat,occ,prestige,industry,OCC10,occindv,PRESTG10,PRESTG105PLUS,marital,agewed,divorce,spwrksta,spocc,sppres,PAIND16,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,INCOM16,hompop,babies,preteen,teens,adults,earnrs,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,libsoc,colcom,gunlaw,trust
$6000 TO,1972,1,WORKING,205,50,609,Wholesal,Verbatim,45,49,NEVER MA,,,,,,587,3,0,23,16,10,,,bachelor,LT HIGH,,,female,white,BIG-CITY,MIDDLE A,DIFFEREN,average,1,0,0,0,1,1,72,1.2,5.09,7.93,4.43,6.61,50.7,2.84,5.14,7.96,3.81,4.97,43.4,NOT REMO,NOT FIRE,favor,depends
$8000 TO,1972,2,retired,441,45,338,First-li,Verbatim,50,62,married,21,no,KEEPING,,,339,4,5,70,10,8,8,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,male,white,CITY GT,E. NOR.,"SAME ST,",ABOVE AV,2,0,0,0,2,0,72,1.3,3.77,4.5,4.14,7.12,45.2,1.97,5.59,7.18,4.37,6.61,48.3,NOT REMO,fired,favor,CAN TRUS
$8000 TO,1972,3,WORKING,270,44,718,Real est,,49,69,married,20,no,WORKING,216,38,408,5,4,48,12,8,8,11,HIGH SCH,LT HIGH,LT HIGH,,female,white,CITY GT,E. NOR.,"SAME ST,",average,4,0,1,1,2,2,72,2.99,5.02,8,3.95,5.82,47.8,4.01,6.03,3.03,3.01,4.98,30.2,NOT REMO,fired,favor,Can't be
$10000 T,1972,4,WORKING,1,57,319,Accounta,Verbatim,60,85,married,24,no,WORKING,1,57,867,5,0,27,17,16,12,20,bachelor,bachelor,HIGH SCH,graduate,female,white,CITY GT,foreign,DIFFEREN,average,2,0,0,0,2,2,72,1.42,7.69,7.98,4.76,7.29,60.6,1.29,3.33,7.99,5.06,7.81,60.1,NOT REMO,fired,favor,Can't be
$17500 T,1972,5,KEEPING,385,40,448,Telephon,Verbatim,31,21,married,22,no,TEMP NOT,533,36,168,2,2,61,12,8,8,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,female,white,TOWN LT,E. NOR.,"SAME ST,",BELOW AV,2,0,0,0,2,1,72,6.37,5.88,2.72,3.1,3.31,35.7,2.22,7.97,0.21,3.95,6.97,41.5,NOT REMO,NOT FIRE,favor,Can't be
$15000 T,1972,6,WORKING,281,49,209,Sales re,Verbatim,45,55,NEVER MA,,,,,,67,1,0,26,14,18,19,,HIGH SCH,bachelor,graduate,,male,white,CITY GT,E. NOR.,SAME CIT,average,1,0,0,0,1,1,72,2.62,5.13,7.89,3.84,5.05,47.1,0.3,7.67,1.42,5.64,7.79,67.1,NOT REMO,NOT FIRE,oppose,CAN TRUS
$12500 T,1972,7,WORKING,522,41,69,Pipelaye,,43,50,divorced,22,,,,,717,7,2,28,13,16,12,,HIGH SCH,bachelor,HIGH SCH,,male,white,BIG-CITY,E. NOR.,SAME CIT,ABOVE AV,1,0,0,0,1,1,72,3,7.81,1.25,3.91,7.28,43.4,1.86,5.65,8,4.21,6.18,49.7,remove,fired,favor,Can't be
$4000 TO,1972,8,WORKING,314,36,587,Order cl,Verbatim,33,21,NEVER MA,,,,,,687,1,0,27,16,16,14,,bachelor,bachelor,HIGH SCH,,male,white,TOWN LT,MIDDLE A,DIFFEREN,average,1,0,0,0,1,1,72,4.13,6.82,7.64,3.09,3.84,33,1.2,3.68,7.93,4.26,6.95,48,NOT REMO,NOT FIRE,favor,CAN TRUS
LT $2000,1972,9,WORKING,912,26,669,Cooks,,33,24,NEVER MA,,,,,,648,2,2,21,12,12,12,,HIGH SCH,HIGH SCH,HIGH SCH,,female,black,50000 TO,W. SOU.,SAME CIT,average,3,2,0,0,1,1,127,3.28,7.68,1.64,3.6,6.4,30.2,6.8,6.28,6.63,2.92,3.15,18.3,NOT REMO,NOT FIRE,favor,Can't be
$6000 TO,1972,10,WORKING,984,18,769,Maids an,Verbatim,25,14,married,19,no,WORKING,690,32,417,7,4,30,12,10,7,11,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,female,black,TOWN LT,W. SOU.,SAME CIT,FAR BELO,7,2,2,1,2,2,127,6.96,7.21,7.77,2.77,2.76,11.4,6.87,7.95,3.13,2.94,3.33,29.1,remove,fired,favor,Can't be
